sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
PM460,-73.59349679,45.52213119,-73.59350725,45.52216815,1,NORMAL,Double,PM459,Laurier,1,Régulier Payez-Partez,300,S,
PM461,-73.59341449,45.52222552,-73.59346986,45.52221378,1,NORMAL,Double,PM462,Laurier,0,Régulier Payez-Partez,300,S,
PM462,-73.59341449,45.52222552,-73.59342742,45.52226244,1,NORMAL,Double,PM461,Laurier,0,Régulier Payez-Partez,300,S,
PM463,-73.5933385,45.52231309,-73.59338839,45.5223072,1,NORMAL,Double,PM464,Laurier,0,Régulier Payez-Partez,300,S,
PM464,-73.5933385,45.52231309,-73.59334752,45.52235407,1,NORMAL,Double,PM463,Laurier,0,Régulier Payez-Partez,300,S,
PM468,-73.59305903,45.52236219,-73.59303415,45.52236969,1,NORMAL,Simple,,Clark,1,Régulier Payez-Partez,300,S,
PM469,-73.592947,45.52231476,-73.5929718,45.52234283,1,NORMAL,Double,PM470,Clark,1,Régulier Payez-Partez,300,S,
PM470,-73.592947,45.52231476,-73.59290715,45.52231497,1,NORMAL,Double,PM469,Clark,1,Régulier Payez-Partez,300,S,
PM472,-73.59330833,45.52272639,-73.59328379,45.52266998,1,NORMAL,Double,PM473,Laurier,0,Régulier Payez-Partez,300,S,
PM473,-73.59330833,45.52272639,-73.59323768,45.52272286,1,NORMAL,Double,PM472,Laurier,0,Régulier Payez-Partez,300,S,
PM481,-73.5930906,45.52259976,-73.59313892,45.52259328,1,NORMAL,Double,PM482,Laurier,1,Régulier Payez-Partez,300,S,
PM482,-73.5930906,45.52259976,-73.59310574,45.52263134,1,NORMAL,Double,PM481,Laurier,1,Régulier Payez-Partez,300,S,
PM483,-73.59301673,45.52268595,-73.5930635,45.52267977,1,NORMAL,Double,PM484,Laurier,1,Régulier Payez-Partez,300,S,
PM484,-73.59301673,45.52268595,-73.59302504,45.52272387,1,NORMAL,Double,PM483,Laurier,1,Régulier Payez-Partez,300,S,
PM492,-73.60485882,45.52455361,-73.60481799,45.52456402,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM493,-73.60478287,45.52463908,-73.60478125,45.52460527,1,NORMAL,Double,PM494,Bernard,0,Régulier Payez-Partez,300,S,
PM494,-73.60478287,45.52463908,-73.60474032,45.52465122,1,NORMAL,Double,PM493,Bernard,0,Régulier Payez-Partez,300,S,
PM495,-73.60470071,45.52472716,-73.60469939,45.52469716,1,NORMAL,Double,PM496,Bernard,1,Régulier Payez-Partez,300,S,
PM496,-73.60470071,45.52472716,-73.6046574,45.52474429,1,NORMAL,Double,PM495,Bernard,1,Régulier Payez-Partez,300,S,
PM497,-73.60461838,45.52482449,-73.60461691,45.52478974,1,NORMAL,Double,PM498,Bernard,0,Régulier Payez-Partez,300,S,
PM498,-73.60461838,45.52482449,-73.60457983,45.52483138,1,NORMAL,Double,PM497,Bernard,0,Régulier Payez-Partez,300,S,
PM503,-73.60468592,45.52448269,-73.60469057,45.5245073,1,NORMAL,Simple,,Bernard,0,Régulier Payez-Partez,300,S,
PM504,-73.60462612,45.52454253,-73.60465733,45.52454461,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM520,-73.60407648,45.52541737,-73.60407051,45.52538921,1,NORMAL,Double,PM521,Bernard,1,Régulier Payez-Partez,300,S,
PM521,-73.60407648,45.52541737,-73.60403638,45.52542752,1,NORMAL,Double,PM520,Bernard,1,Régulier Payez-Partez,300,S,
PM527,-73.60413032,45.52507739,-73.60416376,45.52507434,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
